owTestThreshold=0-1272/Optimize-the-tests-Part-2 ✗) $ node --expose-gc ./node_modules/.bin/jest --no-coverage --no-cache --runInBand --logHeapUsage --slo
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/ComparisonSection.test.tsx (45.577 s, 209 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/__tests__/Repository.test.tsx (71.518 s, 405 MB heap size)
 PASS  src/features/AIComparison/helpers/__tests__/combineFileLinesAndDiffs.test.ts (6.93 s, 95 MB heap size)
 PASS  src/core/Dropdowns/SearchDropdownWithTabs/__tests__/SearchDropdownWithTabs.test.tsx (49.325 s, 202 MB heap size)
 PASS  src/components/RepositoryView/AIPage/components/Overview/__tests__/Overview.test.tsx (92.529 s, 290 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/MetricsFilterDropdown/components/__tests__/MetricsFilterSearchableList.test.tsx (57.81 s, 217 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/__tests__/FilesComparison.test.tsx (37.293 s, 291 MB heap size)
 PASS  src/features/Settings/Emails/__tests__/Emails.test.tsx (68.934 s, 231 MB heap size)
 PASS  src/components/OrganizationView/Repositories/RepositoriesPage/__tests__/Repositories.test.tsx (32.378 s, 302 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/components/__tests__/ReviewsSubSection.test.tsx (38.478 s, 168 MB heap size)
 PASS  src/core/MainNavSearchBar/__tests__/MainNavSearchBar.test.tsx (15.129 s, 200 MB heap size)
 PASS  src/homepagev2/MainNavSearchBar/__tests__/MainNavSearchBar.test.tsx (10.9 s, 215 MB heap size)
 PASS  src/core/Dropdowns/SearchableList/__tests__/SearchableList.test.tsx (12.699 s, 240 MB heap size)
 PASS  src/components/RepositoryView/ExperimentPage/__tests__/Experiment.test.tsx (51.649 s, 295 MB heap size)
 PASS  src/features/NewRMD/__tests__/NewRMD.test.tsx (49.226 s, 211 MB heap size)
 PASS  src/features/PullRequest/Changes/components/FileDiffsView/__tests__/FileDiffsView.test.tsx (25.597 s, 324 MB heap size)
 PASS  src/features/Commit/FileDiffsView/__tests__/FileDiffsView.test.tsx (65.478 s, 293 MB heap size)
 PASS  src/core/Dropdowns/SingleSelectionDropdown/components/__tests__/ComboBoxDropdown.test.tsx (35.216 s, 187 MB heap size)
 PASS  src/features/ConfirmPasswordReset/__tests__/ConfirmPasswordReset.test.tsx (20.654 s, 223 MB heap size)
 PASS  src/features/Settings/Account/__tests__/Account.test.tsx (19.756 s, 250 MB heap size)
 PASS  src/features/Settings/Account/components/__tests__/ChangeUsernameModal.test.tsx (8.044 s, 276 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/__tests__/MetricsFilterDropdown.test.tsx (24.547 s, 262 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FiltersSection.test.tsx (38.211 s, 249 MB heap size)
 PASS  src/core/NumberInput/__tests__/NumberInput.test.tsx (2.425 s, 254 MB heap size)
 PASS  src/components/RepositoryView/AIPage/components/Overview/components/__tests__/FiltersSection.test.tsx (14.163 s, 281 MB heap size)
 PASS  src/features/Settings/Repository/containers/ChangeRepositoryNameSection/__tests__/ChangeRepositoryNameSection.test.tsx (7.616 s, 307 MB heap size)
 PASS  src/core/Auth/AuthGuard/__tests__/AuthGuard.test.tsx (32.583 s, 179 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/__tests__/Models.test.tsx (33.534 s, 254 MB heap size)
 PASS  src/components/OrganizationView/Datasets/DatasetsPage/__tests__/Datasets.test.tsx (14.536 s, 276 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/components/AllExperiments/__tests__/AllExperiments.test.tsx (17.758 s, 301 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/helpers/__tests__/getMergeabilitySummary.test.ts (2.707 s, 71 MB heap size)
 PASS  src/features/AIComparison/__tests__/AIComparison.test.tsx (95.291 s, 331 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/ComparisonItem.test.tsx (66.765 s, 294 MB heap size)
 PASS  src/features/AIComparison/MetricsComparison/__tests__/MetricsComparison.test.tsx (81.217 s, 325 MB heap size)
 PASS  src/core/Dropdowns/SingleSelectionDropdown/__tests__/SingleSelectionDropdown.test.tsx (198.533 s, 504 MB heap size)
 PASS  src/core/Dropdowns/SearchDropdown/__tests__/SearchDropdown.test.tsx (48.151 s, 200 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FileCode.test.tsx (23.792 s, 295 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/__tests__/FiltersSection.test.tsx (56.902 s, 224 MB heap size)
 PASS  src/core/Dropdowns/SearchDropdownWithTabs/components/__tests__/SearchableList.test.tsx (5.967 s, 240 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/helpers/__tests__/getReviewsStatus.test.ts (0.512 s, 226 MB heap size)
 PASS  src/features/AIComparison/PlotsComparison/__tests__/PlotsComparison.test.tsx (36.942 s, 347 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/ai/comparison.test.tsx (59.382 s, 234 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FoldersTreeView.test.tsx (9.97 s, 264 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/FileItemComparisons.test.tsx (27.317 s, 332 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/CloneDropdown/components/__tests__/CloneMethodTabs.test.tsx (41.66 s, 183 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/ai/overview.test.tsx (18.019 s, 239 MB heap size)
 PASS  src/components/RepositoryView/AIPage/components/Comparison/__tests__/Comparison.test.tsx (18.438 s, 289 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/components/Comparison/__tests__/Comparison.test.tsx (55.661 s, 238 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/components/__tests__/FileComparisonCard.test.tsx (3.922 s, 254 MB heap size)
 PASS  src/features/AIComparison/ModelTopologyComparison/containers/__tests__/ComparisonItem.test.tsx (27.914 s, 348 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/MetricsFilterDropdown/components/__tests__/MetricInputField.test.tsx (48.613 s, 202 MB heap size)
