---
title: Includes all optimization.
command: yarn jest --clearCache && node --expose-gc ./node_modules/.bin/jest --no-coverage --runInBand --logHeapUsage --slowTestThreshold=0
---

 PASS  src/core/Dropdowns/SearchDropdownWithTabs/__tests__/SearchDropdownWithTabs.test.tsx (22.455 s, 103 MB heap size)
 PASS  src/features/Settings/Repository/Permissions/ManageAccess/__tests__/ManageAccess.test.tsx (32.274 s, 151 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/__tests__/Repository.test.tsx (63.582 s, 314 MB heap size)
 PASS  src/features/Members/MembershipManager/components/__tests__/AccessibleRepositories.test.tsx (10.48 s, 333 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/ComparisonSection.test.tsx (3.391 s, 352 MB heap size)
 PASS  src/features/AIComparison/helpers/__tests__/combineFileLinesAndDiffs.test.ts (0.275 s, 338 MB heap size)
 PASS  src/components/RepositoryView/AIPage/AI/__tests__/AI.test.tsx (71.472 s, 190 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/MetricsFilterDropdown/components/__tests__/MetricsFilterSearchableList.test.tsx (16.652 s, 156 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/__tests__/FilesComparison.test.tsx (19.145 s, 209 MB heap size)
 PASS  src/features/Settings/User/Emails/__tests__/Emails.test.tsx (32.361 s, 231 MB heap size)
 PASS  src/core/Dropdowns/SearchableList/__tests__/SearchableList.test.tsx (9.636 s, 247 MB heap size)
 PASS  src/core/Auth/AuthGuard/__tests__/AuthGuard.test.tsx (1.482 s, 230 MB heap size)
 PASS  src/components/OrganizationView/Repositories/RepositoriesPage/__tests__/Repositories.test.tsx (25.04 s, 263 MB heap size)
 PASS  src/features/NewRMD/__tests__/NewRMD.test.tsx (5.577 s, 230 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/components/__tests__/ReviewsSubSection.test.tsx (4.965 s, 200 MB heap size)
 PASS  src/components/RepositoryView/ExperimentPage/Experiment/__tests__/Experiment.test.tsx (29.612 s, 206 MB heap size)
 PASS  src/features/Settings/Repository/Permissions/ManageAccess/components/__tests__/MembersList.test.tsx (6.84 s, 225 MB heap size)
 PASS  src/features/Settings/Repository/Permissions/ManageAccess/components/__tests__/AddPeopleDrawerAndModal.test.tsx (10.243 s, 246 MB heap size)
 PASS  src/core/MainNavSearchBar/__tests__/MainNavSearchBar.test.tsx (9.804 s, 255 MB heap size)
 PASS  src/features/Settings/User/Account/__tests__/Account.test.tsx (13.843 s, 243 MB heap size)
 PASS  src/features/Settings/Repository/General/containers/ChangeRepositoryNameSection/__tests__/ChangeRepositoryNameSection.test.tsx (6.769 s, 263 MB heap size)
 PASS  src/features/Members/MembersList/components/__tests__/InviteMemberModal.test.tsx (20.356 s, 223 MB heap size)
 PASS  src/core/Dropdowns/SingleSelectionDropdown/components/__tests__/ComboBoxDropdown.test.tsx (3.028 s, 167 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FiltersSection.test.tsx (46.783 s, 180 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/Experiments/__tests__/Experiments.test.tsx (30.276 s, 221 MB heap size)
