---
title: Restore all mocks after every test suite.
command: yarn jest --clearCache && node --expose-gc ./node_modules/.bin/jest --no-coverage --runInBand --logHeapUsage --slowTestThreshold=0
---

 PASS  src/core/Dropdowns/SearchDropdownWithTabs/__tests__/SearchDropdownWithTabs.test.tsx (18.531 s, 103 MB heap size)
 PASS  src/features/Settings/Repository/Permissions/ManageAccess/__tests__/ManageAccess.test.tsx (24.017 s, 150 MB heap size)
 PASS  src/features/Members/MembershipManager/components/__tests__/AccessibleRepositories.test.tsx (8.101 s, 184 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/__tests__/Repository.test.tsx (52.749 s, 326 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/ComparisonSection.test.tsx (3.376 s, 336 MB heap size)
 PASS  src/features/AIComparison/helpers/__tests__/combineFileLinesAndDiffs.test.ts (0.273 s, 325 MB heap size)
 PASS  src/components/RepositoryView/AIPage/AI/__tests__/AI.test.tsx (62.003 s, 207 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/MetricsFilterDropdown/components/__tests__/MetricsFilterSearchableList.test.tsx (15.792 s, 235 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/__tests__/FilesComparison.test.tsx (18.701 s, 193 MB heap size)
 PASS  src/features/Settings/User/Emails/__tests__/Emails.test.tsx (25.09 s, 227 MB heap size)
 PASS  src/core/Dropdowns/SearchableList/__tests__/SearchableList.test.tsx (8.767 s, 238 MB heap size)
 PASS  src/core/Auth/AuthGuard/__tests__/AuthGuard.test.tsx (1.244 s, 212 MB heap size)
 PASS  src/components/OrganizationView/Repositories/RepositoriesPage/__tests__/Repositories.test.tsx (22.478 s, 238 MB heap size)
 PASS  src/features/NewRMD/__tests__/NewRMD.test.tsx (4.863 s, 169 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/components/__tests__/ReviewsSubSection.test.tsx (4.533 s, 170 MB heap size)
 PASS  src/components/RepositoryView/ExperimentPage/Experiment/__tests__/Experiment.test.tsx (25.177 s, 178 MB heap size)
 PASS  src/features/Settings/Repository/Permissions/ManageAccess/components/__tests__/MembersList.test.tsx (6.216 s, 201 MB heap size)
 PASS  src/features/Settings/Repository/Permissions/ManageAccess/components/__tests__/AddPeopleDrawerAndModal.test.tsx (7.434 s, 222 MB heap size)
 PASS  src/core/MainNavSearchBar/__tests__/MainNavSearchBar.test.tsx (8.738 s, 213 MB heap size)
 PASS  src/features/Settings/User/Account/__tests__/Account.test.tsx (8.863 s, 217 MB heap size)
 PASS  src/features/Settings/Repository/General/containers/ChangeRepositoryNameSection/__tests__/ChangeRepositoryNameSection.test.tsx (5.044 s, 243 MB heap size)
 PASS  src/features/Members/MembersList/components/__tests__/InviteMemberModal.test.tsx (17.241 s, 243 MB heap size)
 PASS  src/core/Dropdowns/SingleSelectionDropdown/components/__tests__/ComboBoxDropdown.test.tsx (2.385 s, 253 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FiltersSection.test.tsx (26.83 s, 199 MB heap size)
 PASS  src/features/ConfirmPasswordReset/__tests__/ConfirmPasswordReset.test.tsx (8.923 s, 189 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/Experiments/__tests__/Experiments.test.tsx (26.379 s, 225 MB heap size)
 PASS  src/lib/apollo/links/unidentifiedErrorLoggerLink/loggers/__tests__/getGitReferenceComparedMetadataGeneralUnidentifiedErrorLogger.test.ts (0.565 s, 222 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/__tests__/MetricsFilterDropdown.test.tsx (21.101 s, 221 MB heap size)
 PASS  src/lib/apollo/links/__tests__/unidentifiedErrorLoggerLink.test.ts (2.391 s, 231 MB heap size)
 PASS  src/components/RepositoryView/AIPage/AI/components/__tests__/FiltersSection.test.tsx (7.932 s, 204 MB heap size)
 PASS  src/core/NumberInput/__tests__/NumberInput.test.tsx (1.487 s, 208 MB heap size)
 PASS  src/core/Dropdowns/SingleSelectionDropdown/__tests__/SingleSelectionDropdown.test.tsx (3.962 s, 221 MB heap size)
 PASS  src/features/AIComparison/__tests__/AIComparison.test.tsx (22.472 s, 266 MB heap size)
 PASS  src/features/AIComparison/MetricsComparison/__tests__/MetricsComparison.test.tsx (8.111 s, 284 MB heap size)
 PASS  src/components/NavBar/components/__tests__/FloatingDesktopMenu.test.tsx (6.877 s, 268 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/helpers/__tests__/getMergeabilitySummary.test.ts (0.147 s, 257 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/FileCode.test.tsx (2.073 s, 255 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/ComparisonItem.test.tsx (4.763 s, 283 MB heap size)
 PASS  src/features/PullRequest/Changes/components/FileDiffsView/__tests__/FileDiffsView.test.tsx (2.946 s, 252 MB heap size)
 PASS  src/features/Commit/FileDiffsView/__tests__/FileDiffsView.test.tsx (3.497 s, 200 MB heap size)
 PASS  src/core/Dropdowns/SearchDropdownWithTabs/components/__tests__/SearchableList.test.tsx (2.487 s, 197 MB heap size)
 PASS  src/features/Register/components/__tests__/UsernameField.test.tsx (2.395 s, 215 MB heap size)
 PASS  src/components/OrganizationView/Datasets/DatasetsPage/__tests__/Datasets.test.tsx (14.146 s, 217 MB heap size)
 PASS  src/features/Members/MembershipManager/components/__tests__/AddRepositoryDrawer.test.tsx (3.924 s, 183 MB heap size)
 PASS  src/features/AIComparison/PlotsComparison/__tests__/PlotsComparison.test.tsx (6.031 s, 210 MB heap size)
 PASS  src/features/Register/__tests__/Register.test.tsx (4.31 s, 219 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/ai/comparison.test.tsx (4.655 s, 267 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/MergeSection/helpers/__tests__/getReviewsStatus.test.ts (0.139 s, 248 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/containers/__tests__/FileItemComparisons.test.tsx (2.594 s, 268 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/ai/index.test.tsx (3.892 s, 242 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/__tests__/Models.test.tsx (12.682 s, 214 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/Experiments/components/__tests__/FiltersSection.test.tsx (15.118 s, 219 MB heap size)
 PASS  src/core/Dropdowns/SearchDropdown/__tests__/SearchDropdown.test.tsx (5.644 s, 230 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/Comparison/__tests__/Comparison.test.tsx (7.48 s, 257 MB heap size)
 PASS  src/components/RepositoryView/AIPage/Comparison/__tests__/Comparison.test.tsx (10.078 s, 265 MB heap size)
 PASS  src/components/RepositoryView/AIPage/Related/__tests__/Related.test.tsx (9.37 s, 283 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/components/__tests__/FileComparisonCard.test.tsx (1.566 s, 246 MB heap size)
 PASS  src/features/Settings/Organization/General/RenameOrganizationSection/components/__tests__/RenameOrganizationModal.test.tsx (3.556 s, 274 MB heap size)
 PASS  src/features/AIComparison/ModelTopologyComparison/containers/__tests__/ComparisonItem.test.tsx (5.17 s, 319 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/__tests__/FiltersSection.test.tsx (10.259 s, 327 MB heap size)
 PASS  src/core/CopyButton/__tests__/CopyButton.test.tsx (1.476 s, 328 MB heap size)
 PASS  src/components/OrganizationView/Models/ModelsPage/components/MetricsFilterDropdown/components/__tests__/MetricInputField.test.tsx (7.656 s, 345 MB heap size)
 PASS  src/features/Settings/Repository/General/components/__tests__/ChangeRepositoryVisibilityModal.test.tsx (2.565 s, 280 MB heap size)
 PASS  src/components/RepositoryView/RepositoryPage/components/__tests__/CloneDropdown.test.tsx (3.469 s, 222 MB heap size)
 PASS  src/features/Settings/User/Account/components/__tests__/UsernameField.test.tsx (2.247 s, 235 MB heap size)
 PASS  src/features/AIComparison/ModelTopologyComparison/components/__tests__/ModelTopologyComparisonCard.test.tsx (1.328 s, 240 MB heap size)
 PASS  src/components/RepositoryView/ExperimentsPage/Experiments/components/__tests__/ExperimentCard.test.tsx (1.14 s, 223 MB heap size)
 PASS  src/features/Settings/Repository/General/containers/DeleteRepositorySection/__tests__/DeleteRepositorySection.test.tsx (3.299 s, 236 MB heap size)
 PASS  src/test/pages/[owner]/[repoType]/[repoName]/ai-experiments/comparison.test.tsx (4.743 s, 269 MB heap size)
 PASS  src/features/PullRequest/Conversation/components/__tests__/MergeSection.test.tsx (1.074 s, 229 MB heap size)
 PASS  src/features/Settings/BillingAndPlans/AddSeats/__tests__/AddSeats.test.tsx (6.325 s, 246 MB heap size)
 PASS  src/features/AIComparison/FilesComparison/components/__tests__/FilesDropdown.test.tsx (5.407 s, 300 MB heap size)
 PASS  src/features/NewRMD/components/__tests__/NameTextField.test.tsx (1.988 s, 249 MB heap size)
